full_address,TLA,LocalityName,class_lookup
"NA, Cormacks, Waitaki (part), New Zealand",068,Cormacks,Peri-urban/Uncertain
"12 Fox Street, Temuka, Temuka, Timaru, New Zealand",064,Temuka,Urban
"76 SOUTHFIELD DRIVE, Lincoln, Selwyn, New Zealand",062,Lincoln,Urban
"32 Avon Street, South Hill, Oamaru, South Hill, Waitaki (part), New Zealand",068,South Hill,Urban
"43 OLD MAIN NORTH ROAD, Leithfield, Hurunui, New Zealand",058,Leithfield,Peri-urban (disputed)
"20A Spiers Street, Kakanui, Oamaru, Kakanui, Waitaki (part), New Zealand",068,Kakanui,Rural
"26 Canterbury Street, NA, Waimakariri, New Zealand",059,NA,Peri-urban/Uncertain
"10B Tamarisk Place, Parklands, Christchurch City, New Zealand",060,Parklands,Urban
"59 Gammack Street, Temuka, Temuka, Timaru, New Zealand",064,Temuka,Urban
"51 Pentecost Road, NA, Waimakariri, New Zealand",059,NA,Rural
"74 Gressons Road, NA, Waimakariri, New Zealand",059,NA,Rural
"508 Bossu Road, Wainui, Christchurch City, New Zealand",060,Wainui,Urban
"6 Burnett Street, Oceanview, Timaru, Oceanview, Timaru, New Zealand",064,Oceanview,Urban
"382 Ward Road, Southburn, Waimate, New Zealand",066,Southburn,Rural
"15 HARRY WIGLEY DRIVE, Pukaki, Mackenzie, New Zealand",065,Pukaki,Peri-urban/Uncertain
"83 KIWA ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"244 GEORGES ROAD, Broomfield, Hurunui, New Zealand",058,Broomfield,Peri-urban (disputed)
"11 Seddon Street, Temuka, Temuka, Timaru, New Zealand",064,Temuka,Urban
"9 Bond Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"157 Kermode Street, NA, Ashburton, New Zealand",063,NA,Urban
"511 Lochheads Road, NA, Ashburton, New Zealand",063,NA,Rural
"MCINNES ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"42 Sterling Crescent, NA, Waimakariri, New Zealand",059,NA,Urban
"65 Rhodes Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"6 BULLER CRES, Otematata, Waitaki (part), New Zealand",068,Otematata,Peri-urban (disputed)
"3 JILLIAN LANE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"Methven Chertsey Roa, NA, Ashburton, New Zealand",063,NA,Rural
"6 MCRAE GARDENS, NA, Kaikoura, New Zealand",054,NA,Urban
"0, Waihao Downs, Waimate, New Zealand",066,Waihao Downs,Rural
"2488 Waimate Highway, Makikihi, Waimate, New Zealand",066,Makikihi,Rural
"13 TOTARA DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"28 DENMARK STREET, Fairlie, Mackenzie, New Zealand",065,Fairlie,Peri-urban (disputed)
"49 Birkett Street, Temuka, Temuka, Timaru, New Zealand",064,Temuka,Urban
"110 Cormacks-Kia Ora Road, Cormacks, Oamaru, Cormacks, Waitaki (part), New Zealand",068,Cormacks,Peri-urban/Uncertain
"9 EDWARDS LANE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Peri-urban (disputed)
"27 TE KEEPA ROAD, NA, Kaikoura, New Zealand",054,NA,Urban
"48 Strowan Avenue ASHBURTON, NA, Ashburton, New Zealand",063,NA,Peri-urban/Uncertain
"14A Clyde Street, Oamaru North, Oamaru, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"19 HIGH STREET, Albury, Mackenzie, New Zealand",065,Albury,Peri-urban/Uncertain
"16 Woodside Road, NA, Waimakariri, New Zealand",059,NA,Urban
"NA, Reidston, Waitaki (part), New Zealand",068,Reidston,Peri-urban/Uncertain
"605 DOUBLE CORNER ROAD, Amberley, Hurunui, New Zealand",058,Amberley,Peri-urban (disputed)
"9 SUNRISE PLACE, NA, Kaikoura, New Zealand",054,NA,Peri-urban/Uncertain
"42 Kotare Avenue, NA, Waimakariri, New Zealand",059,NA,Urban
"103 SOUTH BAY PARADE, NA, Kaikoura, New Zealand",054,NA,Urban
"75 ASTROP ROAD, Hawarden, Hurunui, New Zealand",058,Hawarden,Rural
"626 MANUKA TERRACE, Ben Ohau, Mackenzie, New Zealand",065,Ben Ohau,Rural
"1/120C St Martins Road, St Martins, Christchurch City, New Zealand",060,St Martins,Urban
"32 MACKENZIE DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"22 JOLLIES PASS ROAD, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"53 Lower Sefton Road, NA, Waimakariri, New Zealand",059,NA,Urban
"18 GLENCAIRN ROAD, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"12 MONUMENT ROAD, Ashwick Flat, Mackenzie, New Zealand",065,Ashwick Flat,Rural
"6 Edward Stafford Avenue, Halswell, Christchurch City, New Zealand",060,Halswell,Urban
"35 PUKAKI PLACE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"306 Tram Road, NA, Waimakariri, New Zealand",059,NA,Rural
"7/424 Manchester Street, St Albans, Christchurch City, New Zealand",060,St Albans,Urban
"1091 CLAYTON ROAD, Ashwick Flat, Mackenzie, New Zealand",065,Ashwick Flat,Rural
"NA, Hampden, Waitaki (part), New Zealand",068,Hampden,Urban
"46 KOTARE PLACE, NA, Kaikoura, New Zealand",054,NA,Peri-urban/Uncertain
"3 Guise Lane, Hoon Hay, Christchurch City, New Zealand",060,Hoon Hay,Urban
"50 OLD MAIN NORTH ROAD, NA, Hurunui, New Zealand",058,NA,Peri-urban/Uncertain
"97 Metehau Street, Marshland, Christchurch City, New Zealand",060,Marshland,Urban
"1342 SHANDS ROAD, Lincoln, Selwyn, New Zealand",062,Lincoln,Peri-urban (disputed)
"86 COURAGE ROAD, Amberley, Hurunui, New Zealand",058,Amberley,Peri-urban (disputed)
"STATION ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"238 MACKENZIE DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"440 Thames Highway, Oamaru North, Oamaru, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"10 HOPKINS ROAD, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"466 CURRAGHS ROAD, West Melton, Selwyn, New Zealand",062,West Melton,Peri-urban (disputed)
"4 CAVERHILL CRESCENT, Motunau Beach, Hurunui, New Zealand",058,Motunau Beach,Peri-urban (disputed)
"290 RED SWAMP ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"103 BEACH ROAD, NA, Kaikoura, New Zealand",054,NA,Urban
"1B Saul Schrives Place, Waimate, Waimate, New Zealand",066,Waimate,Urban
"56 Clarks Road, Reidston, Oamaru, Reidston, Waitaki (part), New Zealand",068,Reidston,Peri-urban/Uncertain
"226 Lyall Road, Saint Andrews, Waimate, New Zealand",066,Saint Andrews,Peri-urban (disputed)
"4 BEACH ROAD, Motunau Beach, Hurunui, New Zealand",058,Motunau Beach,Peri-urban (disputed)
"11 Sudbury Street, NA, Ashburton, New Zealand",063,NA,Urban
"48 Haven Street, Moeraki, Moeraki, Waitaki (part), New Zealand",068,Moeraki,Urban
"8 Williamson Place, NA, Ashburton, New Zealand",063,NA,Urban
"42 Macdonalds Lane, NA, Waimakariri, New Zealand",059,NA,Rural
"96 MAX SMITH DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Peri-urban (disputed)
"7 MACAULAY PLACE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"361 Hinds Highway ASHBURTON DISTRICT, NA, Ashburton, New Zealand",063,NA,Peri-urban/Uncertain
"13 Frederick Busch Crescent, NA, Waimakariri, New Zealand",059,NA,Peri-urban/Uncertain
"27 ANDREW DON DRIVE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Peri-urban (disputed)
"32B NORTH WEST ARCH, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"976 KAIWARA ROAD, Ethelton - Letterbox Road, Hurunui, New Zealand",058,Ethelton - Letterbox Road,Rural
"22 Le Cren Street, Seaview, Timaru, Seaview, Timaru, New Zealand",064,Seaview,Urban
"169 Otipua Road, Watlington, Timaru, Watlington, Timaru, New Zealand",064,Watlington,Urban
"19 KILLARNEY STREET, NA, Kaikoura, New Zealand",054,NA,Urban
"29 John Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"123 SCHOOL ROAD, Fairlie, Mackenzie, New Zealand",065,Fairlie,Rural
"6 Bounty Street, Bryndwr, Christchurch City, New Zealand",060,Bryndwr,Urban
"541 Steffens Road, NA, Waimakariri, New Zealand",059,NA,Rural
"35 REGENT STREET, Fairlie, Mackenzie, New Zealand",065,Fairlie,Peri-urban (disputed)
"73 SOUTH BAY PARADE, NA, Kaikoura, New Zealand",054,NA,Rural
"1015 GLENMARK DRIVE, Waipara, Hurunui, New Zealand",058,Waipara,Rural
"66 C Northpark Road ASHBURTON, NA, Ashburton, New Zealand",063,NA,Peri-urban/Uncertain
"14 RANKIN RISE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Peri-urban (disputed)
"53 TORQUAY STREET, NA, Kaikoura, New Zealand",054,NA,Urban
"25 HYNDS DRIVE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"27 Rhodes Street, Parkside, Timaru, Parkside, Timaru, New Zealand",064,Parkside,Urban
"NA, NA, Waimakariri, New Zealand",059,NA,Peri-urban/Uncertain
"12 Makikihi Station Road, Makikihi, Waimate, New Zealand",066,Makikihi,Rural
"41 Rowse Street, NA, Waimakariri, New Zealand",059,NA,Urban
"43 Denise Crescent, Hornby, Christchurch City, New Zealand",060,Hornby,Urban
"3 DEANS PLACE, Amberley, Hurunui, New Zealand",058,Amberley,Urban
"0 SPUR ROAD, Middle Valley, Mackenzie, New Zealand",065,Middle Valley,Rural
"109-115 BEACH ROAD, NA, Kaikoura, New Zealand",054,NA,Urban
"34 High Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"14 Breens Road, Bishopdale, Christchurch City, New Zealand",060,Bishopdale,Urban
"0 LAKE OHAU RD, Hopkins Valley, Waitaki (part), New Zealand",068,Hopkins Valley,Peri-urban/Uncertain
"6 Greta Street, South Hill, Oamaru, South Hill, Waitaki (part), New Zealand",068,South Hill,Urban
"1/23 Crofton Road, Bishopdale, Christchurch City, New Zealand",060,Bishopdale,Urban
"42 Greenhaven Drive, Burwood, Christchurch City, New Zealand",060,Burwood,Urban
"7 ED HILLARY DRIVE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"28 Belmont Avenue, NA, Waimakariri, New Zealand",059,NA,Urban
"111 Domain Avenue, Temuka, Temuka, Timaru, New Zealand",064,Temuka,Urban
"30 Harper Street, Parkside, Timaru, Parkside, Timaru, New Zealand",064,Parkside,Urban
"405 Chapmans Boundary Road, NA, Waimakariri, New Zealand",059,NA,Rural
"87 Bush Street, NA, Waimakariri, New Zealand",059,NA,Urban
"29 NEWCOMBES ROAD, Amberley, Hurunui, New Zealand",058,Amberley,Peri-urban (disputed)
"426 P HWAY 83, Benmore, Waitaki (part), New Zealand",068,Benmore,Rural
"447 MIDDLE VALLEY ROAD, Middle Valley, Mackenzie, New Zealand",065,Middle Valley,Rural
"10 Sasaram Lane, Cashmere, Christchurch City, New Zealand",060,Cashmere,Urban
"68 BEACH ROAD, NA, Kaikoura, New Zealand",054,NA,Urban
"12 Innes Street, Glenavy, Waimate, New Zealand",066,Glenavy,Peri-urban (disputed)
"152 Memorial Avenue, Burnside, Christchurch City, New Zealand",060,Burnside,Urban
"68 ANDREW DON DRIVE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Rural
"13 REEVES STREET, Cheviot, Hurunui, New Zealand",058,Cheviot,Rural
"48 Monmouth Street, Hampden, Hampden, Waitaki (part), New Zealand",068,Hampden,Urban
"39 Princes Street, Waimate, Waimate, New Zealand",066,Waimate,Peri-urban (disputed)
"57 GEORGE STREET, Rotherham, Hurunui, New Zealand",058,Rotherham,Peri-urban (disputed)
"3A Regina Lane, Oamaru North, Oamaru, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"MCLAUGHLINS ROAD, Darfield, Selwyn, New Zealand",062,Darfield,Urban
"197 Manchesters Road, Waimate, Waimate, New Zealand",066,Waimate,Peri-urban (disputed)
"142 Soleares Avenue, McCormacks Bay, Christchurch City, New Zealand",060,McCormacks Bay,Urban
"33A Park Lane, Highfield, Timaru, Highfield, Timaru, New Zealand",064,Highfield,Urban
"1/78 Southampton Street, Sydenham, Christchurch City, New Zealand",060,Sydenham,Urban
"4 TEKAPO DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"7 Bidwill Street, Seaview, Timaru, Seaview, Timaru, New Zealand",064,Seaview,Urban
"17 SIEGERTS ROAD, Kimbell, Mackenzie, New Zealand",065,Kimbell,Rural
"2305 South Eyre Road, NA, Waimakariri, New Zealand",059,NA,Rural
"84 Gunns Road, Makikihi, Waimate, New Zealand",066,Makikihi,Rural
"15 CAVERHILL CLOSE, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"NA, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"52 KEMBLE DRIVE, Springston, Selwyn, New Zealand",062,Springston,Peri-urban (disputed)
"61 HILTON DRIVE, Amberley, Hurunui, New Zealand",058,Amberley,Urban
"19 Nehru Place, Cashmere, Christchurch City, New Zealand",060,Cashmere,Urban
"4 LOE PLACE, Amberley, Hurunui, New Zealand",058,Amberley,Urban
"17 Craigie Avenue, Parkside, Timaru, Parkside, Timaru, New Zealand",064,Parkside,Urban
"14 VALLEY ROAD, Greta Valley, Hurunui, New Zealand",058,Greta Valley,Urban
"43 Champions Road, Waimate, Waimate, New Zealand",066,Waimate,Peri-urban (disputed)
"179 Eden Street, Oamaru, Oamaru, Waitaki (part), New Zealand",068,Oamaru,Urban
"45 Bayliss Drive, NA, Waimakariri, New Zealand",059,NA,Urban
"20 Mahars Road, Mairehau, Christchurch City, New Zealand",060,Mairehau,Urban
"77 White Street, NA, Waimakariri, New Zealand",059,NA,Urban
"24 FIFETUSCAN WAY, Lincoln, Selwyn, New Zealand",062,Lincoln,Urban
"Lucks Road, Waimate, Waimate, New Zealand",066,Waimate,Peri-urban (disputed)
"59 Laughton Street, Washdyke, Timaru, Washdyke, Timaru, New Zealand",064,Washdyke,Urban
"172 BEACH ROAD, NA, Kaikoura, New Zealand",054,NA,Urban
"1/5 Chislehurst Place, Bryndwr, Christchurch City, New Zealand",060,Bryndwr,Urban
"72 Le Cren Street, Seaview, Timaru, Seaview, Timaru, New Zealand",064,Seaview,Urban
"9 McMullan Place, Oamaru North, Oamaru, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"1863 North Eyre Road, NA, Waimakariri, New Zealand",059,NA,Rural
"38 Nen Street, Oamaru, Oamaru, Waitaki (part), New Zealand",068,Oamaru,Urban
"NA, Herbert, Waitaki (part), New Zealand",068,Herbert,Rural
"3/72 Longfellow Street, Sydenham, Christchurch City, New Zealand",060,Sydenham,Urban
"6 Maces Road, Bromley, Christchurch City, New Zealand",060,Bromley,Urban
"252 GIBBS ROAD, Greta Valley, Hurunui, New Zealand",058,Greta Valley,Rural
"100 King Street, NA, Waimakariri, New Zealand",059,NA,Urban
"5 Holmes Street, Holmes Hill, Oamaru, Holmes Hill, Waitaki (part), New Zealand",068,Holmes Hill,Urban
"0 TONDROS ROAD, Fairlie, Mackenzie, New Zealand",065,Fairlie,Peri-urban (disputed)
"3 Taylor Street, Kensington, Timaru, Kensington, Timaru, New Zealand",064,Kensington,Urban
"8 O'CARROLLS ROAD, Hawarden, Hurunui, New Zealand",058,Hawarden,Rural
"11 DOVER STREET, Leithfield, Hurunui, New Zealand",058,Leithfield,Peri-urban (disputed)
"163 MACKENZIE DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"209 Gladstone Road, NA, Waimakariri, New Zealand",059,NA,Urban
"COLERIDGE ROAD, Windwhistle, Selwyn, New Zealand",062,Windwhistle,Urban
"19 ST JAMES AVENUE, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"264 Waihaorunga Road, Waihaorunga, Waimate, New Zealand",066,Waihaorunga,Rural
"27 Rhodes Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"31 Laughton Street, Washdyke, Timaru, Washdyke, Timaru, New Zealand",064,Washdyke,Urban
"1381 Hakataramea Highway, Waihao Downs, Waimate, New Zealand",066,Waihao Downs,Rural
"11 HAWTHORNE ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"GREENPARK ROAD, Lincoln, Selwyn, New Zealand",062,Lincoln,Peri-urban (disputed)
"128 Julloch Road, RD 22, Geraldine, Orari, Timaru, New Zealand",064,Orari,Rural
"33 FAIRHALL STREET, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"1/35 Juniper Place, Burnside, Christchurch City, New Zealand",060,Burnside,Urban
"4 KIWI STREET, NA, Kaikoura, New Zealand",054,NA,Urban
"Rawles Crossing Road, NA, Ashburton, New Zealand",063,NA,Rural
"1/4A Trafalgar Street, Maori Hill, Timaru, Maori Hill, Timaru, New Zealand",064,Maori Hill,Urban
"49 Bishopsworth Street, Hillsborough, Christchurch City, New Zealand",060,Hillsborough,Urban
"42 MASEFIELD DRIVE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"933 German Road, NA, Waimakariri, New Zealand",059,NA,Rural
"25 Golf Links Drive, NA, Ashburton, New Zealand",063,NA,Rural
"104 Sullivans Road, Saint Andrews, Waimate, New Zealand",066,Saint Andrews,Peri-urban (disputed)
"139 Middle Road, NA, Ashburton, New Zealand",063,NA,Urban
"53 Rahera Street, Spreydon, Christchurch City, New Zealand",060,Spreydon,Urban
"33 Cross Street, NA, Ashburton, New Zealand",063,NA,Urban
"42 KAITORETE DRIVE, Lincoln, Selwyn, New Zealand",062,Lincoln,Urban
"691 TANCREDS ROAD, Lincoln, Selwyn, New Zealand",062,Lincoln,Peri-urban (disputed)
"90B Gleniti Road, Gleniti, Timaru, Gleniti, Timaru, New Zealand",064,Gleniti,Urban
"160 Main Street, NA, Ashburton, New Zealand",063,NA,Rural
"497 SPRINGSTON ROLLESTON ROAD, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"147 MACKENZIE DRIVE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"30 OSTLER ROAD, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"43 THORNBOROUGH DRIVE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"681 Longbeach Road, NA, Ashburton, New Zealand",063,NA,Rural
"3 Gothic Place, Ilam, Christchurch City, New Zealand",060,Ilam,Urban
"24 Harris Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"20 Hanrahan Street, NA, Ashburton, New Zealand",063,NA,Urban
"301 Forks Road, NA, Ashburton, New Zealand",063,NA,Rural
"32 BARNES ROAD, Lincoln, Selwyn, New Zealand",062,Lincoln,Peri-urban (disputed)
"4 Harborough Street, Watlington, Timaru, Watlington, Timaru, New Zealand",064,Watlington,Urban
"1/30 Mathers Road, Hoon Hay, Christchurch City, New Zealand",060,Hoon Hay,Urban
"32 MOODY STREET, Gore Bay, Hurunui, New Zealand",058,Gore Bay,Peri-urban (disputed)
"NA, NA, Kaikoura, New Zealand",054,NA,Peri-urban/Uncertain
"54 Till Street, South Hill, Oamaru, South Hill, Waitaki (part), New Zealand",068,South Hill,Urban
"NA, Waimate, Waimate, New Zealand",066,Waimate,Urban
"60 Sneyd Street, NA, Waimakariri, New Zealand",059,NA,Urban
"61 Ranui Avenue, Waimataitai, Timaru, Waimataitai, Timaru, New Zealand",064,Waimataitai,Urban
"146 GLEN LYON ROAD, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"26 FRASER CRESCENT, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"DUNNS CROSSING ROAD, Rolleston, Selwyn, New Zealand",062,Rolleston,Peri-urban (disputed)
"86 ESPLANADE, NA, Kaikoura, New Zealand",054,NA,Urban
"12 KOWHAI FORD ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"301 Waikakahi Valley Road, Ikawai, Waimate, New Zealand",066,Ikawai,Rural
"SHEARWATER DRIVE, NA, Kaikoura, New Zealand",054,NA,Rural
"182 Spur Road, RD 5, Timaru, Hadlow, Timaru, New Zealand",064,Hadlow,Peri-urban/Uncertain
"54 Holliss Avenue, Cashmere, Christchurch City, New Zealand",060,Cashmere,Urban
"52 Princes Street, NA, Ashburton, New Zealand",063,NA,Urban
"18 JOZECOM PLACE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"141 McHughs Road, NA, Waimakariri, New Zealand",059,NA,Peri-urban/Uncertain
"34 Miller Avenue, NA, Ashburton, New Zealand",063,NA,Urban
"8 Buchanan Street, Parkside, Timaru, Parkside, Timaru, New Zealand",064,Parkside,Urban
"107 High Street, NA, Waimakariri, New Zealand",059,NA,Urban
"0 Thackeray Street, Saint Andrews, Waimate, New Zealand",066,Saint Andrews,Urban
"57 OHAU DR, Lake Ohau, Waitaki (part), New Zealand",068,Lake Ohau,Peri-urban/Uncertain
"34 LAKE HILLS ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"10 JOCKS TERRACE, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"15 Wyber Place, NA, Waimakariri, New Zealand",059,NA,Urban
"83 CHALET CRESCENT, Hanmer Springs, Hurunui, New Zealand",058,Hanmer Springs,Urban
"53 Belt Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"1046 PUHI PUHI ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"135 Seadown Road, Washdyke, Timaru, Washdyke, Timaru, New Zealand",064,Washdyke,Peri-urban (disputed)
"37 ST JAMES STREET, Southbridge, Selwyn, New Zealand",062,Southbridge,Peri-urban (disputed)
"221 AMBERLEY BEACH ROAD, Amberley, Hurunui, New Zealand",058,Amberley,Peri-urban (disputed)
"63 FAIRLIE-TEKAPO ROAD, Fairlie, Mackenzie, New Zealand",065,Fairlie,Rural
"171 A Grove Street TINWALD, ASHBURTON, NA, Ashburton, New Zealand",063,NA,Peri-urban/Uncertain
"51 WAITANE ROAD, NA, Kaikoura, New Zealand",054,NA,Peri-urban/Uncertain
"0 MIDDLE VALLEY ROAD, Middle Valley, Mackenzie, New Zealand",065,Middle Valley,Rural
"34 HAWTHORNE ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"59 Gray Crescent, NA, Waimakariri, New Zealand",059,NA,Urban
"60C Victoria Street, Parkside, Timaru, Parkside, Timaru, New Zealand",064,Parkside,Urban
"10 FAIRFORD STREET, Springston, Selwyn, New Zealand",062,Springston,Peri-urban (disputed)
"5 Archibald Street, NA, Ashburton, New Zealand",063,NA,Rural
"206 German Road, NA, Waimakariri, New Zealand",059,NA,Rural
"74 Harper Street, Parkside, Timaru, Parkside, Timaru, New Zealand",064,Parkside,Urban
"14 GODLEY STREET, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"TRELISSICK LOOP, Castle Hill, Selwyn, New Zealand",062,Castle Hill,Peri-urban (disputed)
"0 MANUKA TERRACE, Ben Ohau, Mackenzie, New Zealand",065,Ben Ohau,Rural
"17 Yellowlees Drive, NA, Waimakariri, New Zealand",059,NA,Urban
"5 Gladstone Road, NA, Waimakariri, New Zealand",059,NA,Urban
"167 Bordesley Street, Linwood, Christchurch City, New Zealand",060,Linwood,Urban
"157 SOUTH BAY PARADE, NA, Kaikoura, New Zealand",054,NA,Urban
"20 TASMAN RD, Otematata, Waitaki (part), New Zealand",068,Otematata,Peri-urban (disputed)
"201 Walnut Avenue, NA, Ashburton, New Zealand",063,NA,Urban
"53B High Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"315 ST LEONARDS ROAD, Culverden, Hurunui, New Zealand",058,Culverden,Peri-urban (disputed)
"612 MONAVALE ROAD, Albury, Mackenzie, New Zealand",065,Albury,Rural
"20 Awamoa Road, Holmes Hill, Oamaru, Holmes Hill, Waitaki (part), New Zealand",068,Holmes Hill,Urban
"7 ELIZABETH SQUARE, Leithfield Beach, Hurunui, New Zealand",058,Leithfield Beach,Rural
"18 DAVIDSON TERRACE, NA, Kaikoura, New Zealand",054,NA,Urban
"22 Suva Street, Upper Riccarton, Christchurch City, New Zealand",060,Upper Riccarton,Urban
"35 GODLEY STREET, Twizel, Mackenzie, New Zealand",065,Twizel,Urban
"9 RADCOT DRIVE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"56 DYNES ROAD, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"21 Helicon Street, NA, Waimakariri, New Zealand",059,NA,Urban
"76 Le Cren Street, Seaview, Timaru, Seaview, Timaru, New Zealand",064,Seaview,Urban
"56 EARTHQUAKE ROAD, Duntroon, Waitaki (part), New Zealand",068,Duntroon,Rural
"Evans Street, Waimataitai, Timaru, Waimataitai, Timaru, New Zealand",064,Waimataitai,Urban
"1-5/18 Trafalgar Street, Maori Hill, Timaru, Maori Hill, Timaru, New Zealand",064,Maori Hill,Urban
"75 FAULKS DRIVE, Lincoln, Selwyn, New Zealand",062,Lincoln,Urban
"227 Blandswood Road, RD 22, Geraldine, Peel Forest, Timaru, New Zealand",064,Peel Forest,Peri-urban/Uncertain
"15 WEST BELT, Lincoln, Selwyn, New Zealand",062,Lincoln,Urban
"6/51 Hills Road, St Albans, Christchurch City, New Zealand",060,St Albans,Urban
"239 SCHOOLHOUSE ROAD, NA, Kaikoura, New Zealand",054,NA,Rural
"NA, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"14 AUSTIN STREET, NA, Kaikoura, New Zealand",054,NA,Urban
"9 Poulton Avenue, Richmond, Christchurch City, New Zealand",060,Richmond,Urban
"23 Elizabeth Street, NA, Ashburton, New Zealand",063,NA,Urban
"15 Teviot Street, Oamaru North, Oamaru, Oamaru North, Waitaki (part), New Zealand",068,Oamaru North,Urban
"77 Williams Street, NA, Waimakariri, New Zealand",059,NA,Urban
"11 SOUTH BAY PARADE, NA, Kaikoura, New Zealand",054,NA,Urban
"11 MARVELL LANE, Rolleston, Selwyn, New Zealand",062,Rolleston,Urban
"33 Braebrook Drive, NA, Ashburton, New Zealand",063,NA,Urban
"87 Wakanui School Road, NA, Ashburton, New Zealand",063,NA,Rural
"2 Ash Street, Central City, Christchurch City, New Zealand",060,Central City,Urban
"2/122 North Street, Seaview, Timaru, Parkside, Timaru, New Zealand",064,Parkside,Urban
"721 SLEEMANS ROAD, Windwhistle, Selwyn, New Zealand",062,Windwhistle,Rural
"85 Wakanui Road, NA, Ashburton, New Zealand",063,NA,Urban
"25 Leonard Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"1 Herbert Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"6 Wilson Street, Geraldine, Geraldine, Timaru, New Zealand",064,Geraldine,Urban
"24 PIONEER DRIVE, Lake Tekapo, Mackenzie, New Zealand",065,Lake Tekapo,Peri-urban (disputed)
"2 Kelson Road, Gleniti, Timaru, Gleniti, Timaru, New Zealand",064,Gleniti,Urban
"28 CORNWALL LANE, Kirwee, Selwyn, New Zealand",062,Kirwee,Rural
"7 Spencerville Road, Spencerville, Christchurch City, New Zealand",060,Spencerville,Rural
"219 Geraldine-Arundel Road, RD 22, Geraldine, Rangitata, Timaru, New Zealand",064,Rangitata,Rural
"11 Chambers Avenue, NA, Waimakariri, New Zealand",059,NA,Urban
"6 Herbert Street, Waimate, Waimate, New Zealand",066,Waimate,Urban
"1/45 Alexandra Street, Richmond, Christchurch City, New Zealand",060,Richmond,Urban
"1 Greenfield Mews, NA, Waimakariri, New Zealand",059,NA,Urban
"19 Hakatere Drive, NA, Ashburton, New Zealand",063,NA,Urban
